enunciado,status_imagem,referencia_imagem,alternativa_a,alternativa_b,alternativa_c,alternativa_d,alternativa_e,banca,ano,especialidade,output_gabarito,output_explicacao,output_grande_area,output_taxa_certeza,processado,output_tema,output_subtema,output_especialidade,exportado
"Homem, 51 anos, natural de São Paulo, técnico em informática. Procura atendimento médico
após identificação de esteatose hepática em ultrassonografia abdominal de rotina realizada em
check-up. Paciente assintomático. Refere etilismo eventual, em média 26 g de álcool por semana
nos últimos 10 anos. Nega tabagismo, internações prévias ou uso de medicações. Nega atividades
físicas regulares. Ao exame físico: corado, hidratado, anictérico, afebril, relação circunferência
cintura/quadril de 1,15, inspeção: áreas enegrecidas na pele em região cervical posterior e axilas,
ausência de linfonodomegalia, ACV: FC = 72 bpm, ritmo regular em 2 tempos, PA = 130 x 80
mmHg, AR: murmúrio audível bilateralmente, sem ruídos adventícios, ABD: globoso, ruído
hidroaéreo presente hepatimetria 12 cm na linha hemiclavicular, espaço de Traube com som
timpânico, não identificado semicírculo de Skoda durante percussão abdominal, MMII: sem
edemas, pulsos periféricos palpáveis e simétricos. Neste momento da história evolutiva da doença,
o paciente está mais sujeito a qual das complicações abaixo?",0,,Insuficiência hepática aguda.,Hepatocarcinoma.,Hemorragia digestiva alta.,Doença coronariana.,Hepatotoxicidade por anti-inflamatórios.,UNIFESP,2016,Acesso Direto,D,"O paciente apresenta esteatose hepática diagnosticada em exame de imagem, etilismo eventual (considerando que 26g de álcool por semana é um consumo baixo, a esteatose pode ser considerada não alcoólica), ausência de outras comorbidades conhecidas e resistência à insulina (evidenciada pelas áreas enegrecidas na pele, acantose nigricans, e pela relação cintura/quadril elevada). A esteatose hepática não alcoólica (DHGNA) está fortemente associada à síndrome metabólica e, consequentemente, a um risco aumentado de doença cardiovascular. Embora a DHGNA possa progredir para complicações hepáticas mais graves, como cirrose e hepatocarcinoma, o risco cardiovascular aumentado é a complicação mais imediata e prevalente neste estágio inicial da doença. As outras alternativas são menos prováveis neste momento: insuficiência hepática aguda é rara na DHGNA, hemorragia digestiva alta geralmente está associada à hipertensão portal secundária à cirrose, e hepatotoxicidade por anti-inflamatórios depende do uso desses medicamentos, o que o paciente nega. Portanto, a doença coronariana é a complicação mais provável.",Clínica Médica,95,1,Doença Hepática Gordurosa Não Alcoólica (DHGNA),Esteatose Hepática e Risco Cardiovascular,Gastroenterologia/Hepatologia,0
"Homem de 62 anos de idade vem ao ambulatório de clínica geral para controle de diabetes.
Ele usava metformina 1.000 mg 2x ao dia e glibenclamida 5 mg 3x ao dia, mas há 2 anos a
glibenclamida foi suspensa e iniciada insulina glargina. Ele agora usa 30 unidades de glargina à
noite e levanta 2x à noite com episódios de hipoglicemia, mas durante o dia a glicemia varia entre
150-200 mg/dl. A hemoglobina glicada é 7,5%. Qual a melhor conduta neste momento?",0,,Suspender a glargina e iniciar insulina detemir à noite.,Diminuir a dose da glargina e associar insulina rápida antes das refeições.,Suspender a insulina glargina e reiniciar glibenclamida.,Aplicar a insulina glargina pela manhã.,Pedir para o paciente comer um lanche antes de dormir.,UNIFESP,2016,Acesso Direto,B,"O paciente apresenta bom controle glicêmico geral (HbA1c 7,5%), mas com hipoglicemias noturnas e glicemias diurnas elevadas. A melhor conduta é ajustar a dose da insulina glargina para evitar as hipoglicemias noturnas e adicionar insulina de ação rápida (lispro, aspart, glulisina) antes das refeições para controlar as glicemias pós-prandiais. A insulina detemir poderia ser uma opção, mas a mudança isolada provavelmente não resolveria o problema das glicemias diurnas elevadas. Reiniciar a glibenclamida não é ideal devido ao risco de hipoglicemia, especialmente em um paciente que já está usando insulina. Aplicar a glargina pela manhã pode alterar o padrão de hipoglicemia, mas não necessariamente controlará as glicemias diurnas. Comer um lanche antes de dormir pode ajudar a prevenir a hipoglicemia noturna, mas não aborda o problema das glicemias diurnas elevadas e pode levar ao ganho de peso.",Clínica Médica,90,1,Diabetes Mellitus,Manejo da Insulinoterapia,Endocrinologia,0
"Mulher, 60 anos de idade, hipertensa, diabética e dislipidêmica em acompanhamento
ambulatorial em uso de metformina 850 mg 2x ao dia; sinvastatina 20 mg/dia; AAS 100 mg/dia;
losartana 50 mg/dia; hidroclorotiazida 25 mg/dia e anlodipino 5 mg/dia. Refere que tem
apresentado edema em membros inferiores e crise recorrente de gota. Quais medicamentos seriam
responsáveis, respectivamente, pelo edema e pela gota?",0,,Sinvastatina e losartana.,Sinvastatina e hidroclorotiazida.,Losartana e metformina.,Anlodipino e losartana.,Anlodipino e hidroclorotiazida.,UNIFESP,2016,Acesso Direto,E,"O anlodipino, um bloqueador dos canais de cálcio, é conhecido por causar edema em membros inferiores como efeito colateral. A hidroclorotiazida, um diurético tiazídico, pode aumentar os níveis de ácido úrico no sangue, precipitando crises de gota em pacientes predispostos. Portanto, a resposta correta é a alternativa E.",Clínica Médica,98,1,Efeitos Colaterais de Medicamentos,"Edema por Anlodipino, Gota por Diuréticos",Cardiologia,0
"Homem de 55 anos, portador de cirrose hepática secundária a etilismo, chega ao pronto socorro
com queda do estado geral e aumento do volume abdominal. Acompanhante refere que o paciente
não dorme há 3 dias, mas apresenta episódios de sonolência durante o dia. Nega uso de
medicações regularmente. Paciente estava bebendo constantemente nas últimas semanas pelo
menos 6 doses de destilado ao dia. Ao exame: sonolento, sons incompreensíveis após estímulo
doloroso, ausência de flapping, peso = 54 kg, altura = 1,68 m; ACV: FC 64 bpm, RCR (2T), PA
85/55 mmHg; AR: FR 18 inc/min, MV+, murmúrio reduzido em bases bilateralmente; ABD: RHA
reduzidos, globoso, tenso, embora compressível em região de epigástrio, doloroso a palpação, sinal
de Piparote presente; MMII: edema 3+/4+, pulsos periféricos presentes:

Qual prescrição abaixo está correta para o tratamento deste paciente?",1,"extracted_images/r1acessodiretounifesp2016-1745958891358-UNIFESP-2016-R1__pg3__q4__alt_A.jpg, extracted_images/r1acessodiretounifesp2016-1745958891358-UNIFESP-2016-R1__pg3__q4__alt_B.jpg, extracted_images/r1acessodiretounifesp2016-1745958891358-UNIFESP-2016-R1__pg3__q4__alt_C.jpg, extracted_images/r1acessodiretounifesp2016-1745958891358-UNIFESP-2016-R1__pg3__q4__enunciado.jpg, extracted_images/r1acessodiretounifesp2016-1745958891358-UNIFESP-2016-R1__pg4__q4__alt_D.jpg, extracted_images/r1acessodiretounifesp2016-1745958891358-UNIFESP-2016-R1__pg4__q4__alt_E.jpg","1 Dieta zero
2 Soro glicosado 5%
3 Ceftriaxona
4 Omeprazol
5 Albumina
6 Lactulona
7 Enteroclisma
8 Dipirona","1 Dieta hipossódica
2 Soro fisiológico 0,9%
3 Ceftriaxona
4 Metronidazol
5 Albumina
6 Lactulona
7 Omeprazol
8 Paracetamol","1 Dieta hipossódica e para hepatopata
2 Soro fisiológico 0,9%
3 Norfloxacino
4 Prednisona
5 Albumina
6 Lactulona
7 Omeprazol
8 Dipirona","1 Dieta zero
2 Soro glicosado 5%
3 Ceftriaxona
4 Furosemida
5 Albumina
6 Prednisolona
7 Omeprazol
8 Paracetamol","1 Dieta leve para hepatopata
2 Soro fisiológico 0,9%
3 Cefepime
4 Albumina
5 Lactulona
6 Metilprednisolona
7 Omeprazol
8 Dipirona",UNIFESP,2016,Acesso Direto,A,"O paciente apresenta um quadro de cirrose hepática descompensada, com encefalopatia hepática (sonolência, alteração do nível de consciência) e ascite (aumento do volume abdominal, sinal de piparote presente, edema). O tratamento deve focar em reduzir a produção de amônia (lactulona), tratar a infecção (ceftriaxona, considerando a possibilidade de peritonite bacteriana espontânea), repor albumina (devido à baixa albumina sérica e ascite), restringir sódio na dieta e usar diuréticos (furosemida) para controlar a ascite. A dieta deve ser zero inicialmente, devido ao estado geral do paciente. O soro glicosado é importante para fornecer energia, já que o paciente está em dieta zero. O omeprazol é usado para profilaxia de úlcera de estresse. A dipirona deve ser evitada, pois pode ser hepatotóxica. A prednisona e metilprednisolona são corticoides e não são indicados nesse quadro. O norfloxacino é usado para profilaxia de peritonite bacteriana espontânea, mas não é a primeira linha de tratamento. O paracetamol deve ser evitado devido ao risco de hepatotoxicidade. O cefepime é um antibiótico de amplo espectro, mas a ceftriaxona é suficiente inicialmente. A dieta hipossódica é importante, mas a dieta zero é mais adequada inicialmente. O metronidazol não é a primeira linha para peritonite bacteriana espontânea. O enteroclisma não é a primeira linha para encefalopatia hepática. A furosemida é importante para o tratamento da ascite, mas não está presente na alternativa A. A prednisolona não é indicada nesse quadro. A dieta leve para hepatopata não é adequada inicialmente. Portanto, a alternativa que melhor se encaixa no tratamento inicial do paciente é a D, com dieta zero, soro glicosado, ceftriaxona, furosemida, albumina, prednisolona (embora não seja ideal, pode ser considerada para outras condições associadas), omeprazol e paracetamol (que deve ser evitado). No entanto, considerando a necessidade de furosemida e a contraindicação do paracetamol, a alternativa mais adequada, embora não perfeita, é a A, com a ressalva de que a dipirona deve ser evitada e a furosemida deve ser adicionada.",Clínica Médica,75,1,Encefalopatia Hepática e Ascite,Tratamento da encefalopatia hepática e manejo da ascite em cirrose,Gastroenterologia/Hepatologia,0
"Mulher de 22 anos de idade, atendida no pronto-socorro após ser encontrada inconsciente em
seu domicílio. Acompanhante relata ter encontrado diversas cartelas de uma medicação abertas
junto à paciente, mas não recorda o nome e não se lembrou de trazer para o hospital. Refere que
a última vez que a viu foi na noite do dia anterior. Paciente é levada para a sala de emergência
inconsciente, não reagindo a comando verbal ou a estímulos dolorosos. Não são observados rigidez
de nuca ou contrações musculares. Ao exame: Glasgow 4; FC = 99 bpm; PA = 105 x 65 mmHg;
FR = 16 inc/min; SpO2 = 83%. Sem alterações em outros sistemas avaliados. Realizada intubação
orotraqueal e colhidos os exames laboratoriais abaixo:

Com base nos dados acima apresentados e sua principal hipótese diagnóstica, qual medicação
abaixo seria primeiramente administrada:",1,extracted_images/r1acessodiretounifesp2016-1745958891358-UNIFESP-2016-R1__pg4__q5__enunciado.jpg,Atropina.,Flumazenil.,N-acetilcisteína.,Dantrolene.,Naloxona.,UNIFESP,2016,Acesso Direto,E,"A paciente apresenta um quadro de rebaixamento do nível de consciência, bradipneia (FR = 16 inc/min) e hipoxemia (SpO2 = 83%), o que sugere fortemente uma depressão do sistema nervoso central. A história de cartelas de medicação abertas encontradas junto à paciente levanta a suspeita de intoxicação exógena. Considerando o quadro clínico e a ausência de outras alterações significativas, a principal hipótese diagnóstica é overdose por opioides. A naloxona é um antagonista opioide que reverte rapidamente os efeitos depressores respiratórios e neurológicos causados por essas substâncias. As outras alternativas não se encaixam no quadro clínico apresentado: Atropina é utilizada para bradicardia, Flumazenil para overdose por benzodiazepínicos, N-acetilcisteína para intoxicação por paracetamol e Dantrolene para hipertermia maligna ou síndrome neuroléptica maligna.",Clínica Médica,98,1,Intoxicação Exógena,Overdose por opioides,Emergência,0
"Homem, 26 anos de idade, em quimioterapia para câncer de testículo, vem há 24 horas com
febre e astenia, sem outras queixas clínicas. Sinais vitais iniciais: PA = 120 x 80 mmHg; FC = 120
bpm; FR = 12 irpm; temp = 38,3°C (axilar); saturando 98%. Ao exame físico: BEG; hipocorado
(+1/+4); eupneico, anictérico, acianótico pulmões limpos, RCR em 2 tempos, BNF sem sopros.
Abdome = plano, flácido, sem visceromegalias, RHA +, membros inferiores sem edemas. Exames
iniciais: Hb = 10 g/dl; Ht = 30%; leuco = 1.000/mm3 com 30% de neutrófilos; lactato normal;
plaquetas = 120.000/ml; ureia = 40 mg/dl; creatinina = 0,8 mg/dl; Na = 140 mEq/L; K = 4,2
mEq/L; PCR = 150 mg/dl (normal até 10); urina I = normal; RX de tórax normal. Qual a conduta
mais adequada neste momento?",0,,Meropenem e vancomicina.,Cefepime.,Ciprofloxacino.,Ceftriaxona + claritromicina.,Aguardar resultado da hemocultura.,UNIFESP,2016,Acesso Direto,B,"O paciente apresenta neutropenia febril (leucócitos < 1000/mm3 e neutrófilos < 500/mm3, associado à febre). Pacientes neutropênicos febris têm risco aumentado de infecções graves e sepse, necessitando de antibioticoterapia empírica de amplo espectro o mais rápido possível. A escolha do antibiótico deve cobrir principalmente bactérias Gram-negativas, como Pseudomonas aeruginosa. Cefepime é uma cefalosporina de quarta geração com boa cobertura para Pseudomonas e é uma escolha comum para neutropenia febril. Meropenem e vancomicina são opções, mas a vancomicina é geralmente reservada para situações específicas, como suspeita de infecção por Gram-positivos resistentes (MRSA) ou infecções de cateter. Ciprofloxacino é uma fluoroquinolona que pode ser usada, mas não é a primeira escolha devido ao aumento da resistência bacteriana. Ceftriaxona + claritromicina não é uma combinação adequada para neutropenia febril. Aguardar o resultado da hemocultura não é apropriado, pois o tratamento deve ser iniciado imediatamente.",Clínica Médica,95,1,Neutropenia Febril,Antibioticoterapia Empírica,Oncologia Clínica,0
"Paciente com 40 anos de idade, chega ao pronto socorro com quadro de dispneia importante,
sendo optado por intubação orotraqueal na sala de emergência. Acompanhante relata história de
coriza há três dias, evoluindo com expectoração amarelada há um dia da admissão. O Rx de tórax
é mostrado na figura:

Qual a melhor conduta?",1,extracted_images/r1acessodiretounifesp2016-1745958891358-UNIFESP-2016-R1__pg5__q7__enunciado.jpg,Oseltamivir+Sulfametoxazol+trimetoprim.,Ciprofloxacina+azitromicina.,Cefuroxima+oseltamivir.,Oseltamivir.,Ceftriaxona+azitromicina+oseltamivir.,UNIFESP,2016,Acesso Direto,E,"O quadro clínico do paciente (dispneia, expectoração amarelada, coriza prévia) associado ao achado radiológico (infiltrado pulmonar) sugere pneumonia. A intubação orotraqueal indica gravidade. A história de coriza e expectoração amarelada sugere etiologia bacteriana, possivelmente associada a infecção viral prévia. A melhor conduta inicial é antibioticoterapia empírica para pneumonia comunitária grave, associada a oseltamivir, devido à possibilidade de influenza. A ceftriaxona e azitromicina cobrem os principais agentes etiológicos de pneumonia comunitária (Streptococcus pneumoniae, Mycoplasma pneumoniae, Haemophilus influenzae, etc.). O oseltamivir cobre a influenza, que pode predispor à pneumonia bacteriana secundária. Portanto, a alternativa E é a mais adequada. As outras alternativas não cobrem adequadamente os principais agentes etiológicos de pneumonia comunitária ou não consideram a possibilidade de influenza.",Clínica Médica,95,1,Pneumonia,Pneumonia comunitária,Pneumologia,0
"Paciente de 80 anos de idade com IAM sem supra, de alto risco segundo o escore de TIMI,
peso = 80 kg, hipertenso e diabético; PA = 130 x 80 mmHg; FC = 80 bpm; FR = 12 irpm, saturando
98% em ar ambiente. Em relação à prescrição do primeiro dia de internação, quais itens não se
encontram adequados:",0,,,,,,,UNIFESP,2016,Acesso Direto,Não é possível determinar sem as alternativas,"A questão descreve um paciente idoso com IAMSSST de alto risco, comorbidades (hipertensão e diabetes) e dados vitais estáveis. Para avaliar a adequação da prescrição, seria necessário conhecer as opções de tratamento propostas (A, B, C, D, E). Sem essa informação, é impossível determinar quais itens da prescrição seriam inadequados. A conduta inicial em IAMSSST inclui: monitorização contínua, oxigenoterapia (se SatO2 < 90%), acesso venoso, ECG seriado, marcadores de necrose miocárdica, antiagregantes plaquetários (AAS e inibidor P2Y12), anticoagulantes, betabloqueadores (se não houver contraindicação), estatinas e, em alguns casos, inibidores da ECA. A decisão sobre a estratégia invasiva (angioplastia coronária) depende da estratificação de risco e da resposta ao tratamento inicial.",Clínica Médica,5,1,Síndrome Coronariana Aguda,Infarto Agudo do Miocárdio sem Supradesnivelamento do Segmento ST (IAMSSST),Cardiologia,0
"Enalapril 10 mg VO 2x dia.
Cateter O2 - 3L/min uso contínuo.",0,,"4, 5, 8, 9.","3, 4, 6, 7.","3, 5, 6, 9.","3, 4, 6, 9.","4, 5, 6, 7.",UNIFESP,2016,Acesso Direto,Incompleto,"O Enalapril é um inibidor da ECA utilizado no tratamento da hipertensão e insuficiência cardíaca. A administração de oxigênio (O2) por cateter nasal a 3L/min indica uma possível necessidade de suporte respiratório, o que pode estar relacionado a diversas condições clínicas. As alternativas listam números, que presumivelmente correspondem a sinais e sintomas ou resultados de exames. Sem informações adicionais sobre o que esses números representam, é impossível determinar a resposta correta. No entanto, a prescrição de Enalapril e O2 sugere que o paciente pode ter problemas cardiovasculares e/ou respiratórios. A questão está incompleta, pois não fornece o contexto necessário para a interpretação dos números nas alternativas.",Clínica Médica,5,1,Hipertensão Arterial Sistêmica (HAS),"Tratamento medicamentoso da HAS, Oxigenoterapia",Cardiologia,0
"Mulher de 22 anos de idade, chegou ao PS com palpitações taquicárdicas há cerca de 30
minutos sem outras queixas clínicas ou antecedentes. Sinais vitais de chegada: FC = 180 bpm; PA
= 120 x 80 mmHg; T = 36°C; saturação O2 = 98%; FR = 12 irpm. Ao exame: BEG, corada,
acianótica, vígil, anictérica, pulmões limpos, RCR em 2T, BNF sem sopros, abdome normal. ECG
mostrado na figura:
Qual a conduta inicial?",1,extracted_images/r1acessodiretounifesp2016-1745958891358-UNIFESP-2016-R1__pg6__q9__enunciado.jpg,Amiodarona 150 mg IV em 10 minutos.,Adenosina 6 mg IV em bolus.,Manobra vagal.,Verapamil 10 mg IV.,Cardioversão elétrica.,UNIFESP,2016,Acesso Direto,C,"O ECG apresenta uma taquicardia de complexo QRS estreito, regular e com frequência de 180 bpm, compatível com Taquicardia Supraventricular (TSV). A paciente está hemodinamicamente estável (PA = 120 x 80 mmHg) e sem outras queixas. A conduta inicial para TSV estável é a realização de manobras vagais. Se as manobras vagais não forem efetivas, a próxima linha de tratamento é a administração de adenosina. Amiodarona é utilizada para taquicardias ventriculares ou supraventriculares com instabilidade hemodinâmica. Verapamil pode ser usado, mas com cautela, pois pode causar hipotensão. Cardioversão elétrica é reservada para pacientes instáveis.",Clínica Médica,95,1,Arritmias,Taquicardia Supraventricular,Cardiologia,0
